product_name,tags,starting_price,pricing_details,free_version,free_trial/free_demo,deployment,training,support,Category_Features,Category_Features_List,product_id,starting_price_method,starting_price_num,starting_price_method_fill,starting_price_num_fill
iCapture,,$79.00/month/user,Small business and B2B plans,Yes,,"Cloud,SaaS,Web,Mobile-AndroidNative,Mobile-iOSNative","Webinars,LiveOnline","Online,BusinessHours","Survey Features, Electronic Data Capture Features, Lead Capture Features","{'Custom Survey URLs': 'disabled', 'Data Analysis Tools': 'able', 'Email Marketing': 'able', 'Mobile Survey': 'able', 'Offline Response Collection': 'able', 'Question Branching': 'able', 'Question Library': 'able', 'Site Intercept Survey': 'disabled', 'Skip Logic': 'able', 'Supports Audio / Images / Video': 'disabled'},{},{'Business Card/Badge Scanning': 'able', 'Dashboard': 'disabled', 'Data Extraction': 'able', 'Data Verification': 'able', 'Form Builder': 'disabled', 'Gamification': 'disabled', 'Lead Distribution': 'disabled', 'Lead Enrichment': 'disabled', 'Lead Notifications': 'disabled', 'Lead Nurturing': 'able', 'Lead Scoring': 'disabled'}",10,month/user,79.0,month/user,79.0
SMART-TRIAL,,$556.00/month,Per study,Yes,,"Cloud,SaaS,Web","Documentation,LiveOnline,InPerson","Online,BusinessHours",Electronic Data Capture Features,"{'Audit Trail': 'able', 'CRF Tracking': 'able', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'able', 'Document Imaging': 'able', 'Document Indexing': 'able', 'Forms Management': 'able', 'Remote Capture': 'able', 'Study Management': 'able'}",11,month,556.0,month,556.0
Formation,,Not provided by vendor,,,,"Cloud,SaaS,Web,Installed-Windows,Mobile-AndroidNative,Mobile-iOSNative","Documentation,Webinars,InPerson",NotOffered,Electronic Data Capture Features,"{'Audit Trail': 'able', 'CRF Tracking': 'disabled', 'Data Entry': 'able', 'Data Verification': 'disabled', 'Distributed Capture': 'disabled', 'Document Imaging': 'disabled', 'Document Indexing': 'disabled', 'Forms Management': 'able', 'Remote Capture': 'able', 'Study Management': 'disabled'}",12,Not provided by vendor,inf,one-time/user,21.54
Aetiol,,Not provided by vendor,,Yes,,"Cloud,SaaS,Web,Installed-Mac,Installed-Windows","Documentation,Webinars,LiveOnline,InPerson","Online,BusinessHours,24/7(LiveRep)",Electronic Data Capture Features,"{'Audit Trail': 'able', 'CRF Tracking': 'able', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'able', 'Document Imaging': 'able', 'Document Indexing': 'able', 'Forms Management': 'able', 'Remote Capture': 'able', 'Study Management': 'able'}",13,Not provided by vendor,inf,month,1377.09
VKS,,Not provided by vendor,,,Yes,"Cloud,SaaS,Web,Installed-Mac,Installed-Windows","Webinars,LiveOnline,InPerson","Online,BusinessHours",Electronic Data Capture Features,"{'Audit Trail': 'able', 'CRF Tracking': 'disabled', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'able', 'Document Imaging': 'able', 'Document Indexing': 'able', 'Forms Management': 'able', 'Remote Capture': 'able', 'Study Management': 'able'}",14,Not provided by vendor,inf,year,477.82
Grooper,,Not provided by vendor,,,Yes,"Cloud,SaaS,Web,Installed-Windows","Documentation,Webinars,LiveOnline,InPerson",24/7(LiveRep),"Artificial Intelligence Features, Data Discovery Features, Data Extraction Features, Electronic Data Capture Features, Machine Learning Features","{'Chatbot': 'disabled', 'For eCommerce': 'disabled', 'For Healthcare': 'able', 'For Sales': 'disabled', 'Multi-Language': 'able', 'Predictive Analytics': 'disabled', 'Process/Workflow Automation': 'able', 'Virtual Personal Assistant (VPA)': 'disabled'},{'Contextual Search': 'able', 'Data Classification': 'able', 'Data Matching': 'able', 'False Positives Reduction': 'able', 'Self Service Data Preparation': 'disabled', 'Sensitive Data Identification': 'able', 'Visual Analytics': 'disabled'},{'Disparate Data Collection': 'able', 'Document Extraction': 'able', 'Email Address Extraction': 'able', 'Image Extraction': 'able', 'IP Address Extraction': 'able', 'Phone Number Extraction': 'able', 'Pricing Extraction': 'able', 'Web Data Extraction': 'disabled'},{'Audit Trail': 'disabled', 'CRF Tracking': 'disabled', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'able', 'Document Imaging': 'able', 'Document Indexing': 'able', 'Forms Management': 'disabled', 'Remote Capture': 'disabled', 'Study Management': 'disabled'},{'Deep Learning': 'disabled', 'ML Algorithm Library': 'disabled', 'Model Training': 'able', 'NLP': 'able', 'Predictive Modeling': 'disabled', 'Statistical / Mathematical Tools': 'able', 'Templates': 'able', 'Visualization': 'able'}",15,Not provided by vendor,inf,one-time,17867.03
Flex Databases,,"$1,300.00/month",,,,"Cloud,SaaS,Web","Documentation,LiveOnline,InPerson",BusinessHours,"Clinical Trial Management Features, Electronic Data Capture Features","{'21 CFR Part 11 Compliance': 'able', 'Document Management': 'able', 'Electronic Data Capture': 'able', 'Enrollment Management': 'able', 'HIPAA Compliant': 'able', 'Monitoring': 'able', 'Patient Database': 'able', 'Recruiting Management': 'able', 'Scheduling': 'able', 'Study Planning': 'able'},{'Audit Trail': 'able', 'CRF Tracking': 'able', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'able', 'Document Imaging': 'disabled', 'Document Indexing': 'disabled', 'Forms Management': 'able', 'Remote Capture': 'disabled', 'Study Management': 'able'}",16,month,1300.0,month,1300.0
naturalFORMS,,Not provided by vendor,,Yes,,"Cloud,SaaS,Web",Documentation,"Online,BusinessHours","Forms Automation Features, Electronic Data Capture Features","{'Approval Process Control': 'disabled', 'Archiving & Retention': 'able', 'Collaboration': 'disabled', 'Document Indexing': 'disabled', 'Drag & Drop': 'disabled', 'Full Text Search': 'disabled', 'Remote Document Access': 'disabled', 'Rules-Based Workflow': 'able', 'Text Editing': 'able', 'Version Control': 'disabled'},{'Audit Trail': 'able', 'CRF Tracking': 'able', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'able', 'Document Imaging': 'able', 'Document Indexing': 'disabled', 'Forms Management': 'able', 'Remote Capture': 'able', 'Study Management': 'disabled'}",17,Not provided by vendor,inf,one-time/user,69.49
DataFax,,Not provided by vendor,,,,"Cloud,SaaS,Web,Installed-Mac,Installed-Windows,Mobile-AndroidNative,Mobile-iOSNative","Documentation,Webinars,LiveOnline,InPerson","Online,BusinessHours","Clinical Trial Management Features, Electronic Data Capture Features","{'21 CFR Part 11 Compliance': 'able', 'Document Management': 'able', 'Electronic Data Capture': 'able', 'Enrollment Management': 'able', 'HIPAA Compliant': 'able', 'Monitoring': 'able', 'Patient Database': 'able', 'Recruiting Management': 'disabled', 'Scheduling': 'able', 'Study Planning': 'able'},{'Audit Trail': 'able', 'CRF Tracking': 'able', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'able', 'Document Imaging': 'able', 'Document Indexing': 'able', 'Forms Management': 'able', 'Remote Capture': 'able', 'Study Management': 'able'}",18,Not provided by vendor,inf,one-time/user,340.48
iMedNet EDC,,Not provided by vendor,,,Yes,"Cloud,SaaS,Web","LiveOnline,InPerson","Online,BusinessHours,24/7(LiveRep)","Clinical Trial Management Features, Electronic Data Capture Features","{},{'Audit Trail': 'able', 'CRF Tracking': 'able', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'able', 'Document Imaging': 'able', 'Document Indexing': 'able', 'Forms Management': 'able', 'Remote Capture': 'able', 'Study Management': 'able'}",19,Not provided by vendor,inf,year,202.36
Ultimate Forms,,$0.75/month/user,,Yes,,"Cloud,SaaS,Web,Installed-Mac,Installed-Windows","Documentation,LiveOnline",,"Workflow Management Features, Business Process Management Features, Electronic Data Capture Features","{'Access Controls/Permissions': 'disabled', 'Business Process Automation': 'disabled', 'Calendar Management': 'disabled', 'Compliance Tracking': 'able', 'Customizable Dashboard': 'disabled', 'Document Management': 'disabled', 'Forms Management': 'disabled', 'Graphical Workflow Editor': 'disabled', 'Mobile Access': 'disabled', 'Task Management': 'able', 'Third Party Integrations': 'able', 'Workflow Configuration': 'disabled'},{'Access Controls/Permissions': 'able', 'Alerts/Notifications': 'able', 'Business Process Automation': 'able', 'Business Rules Management': 'able', 'Collaboration': 'able', 'Process Change Tracking': 'disabled', 'Process Mapping': 'disabled', 'Process Modeling & Designing': 'able', 'Visual Workflow Management': 'disabled'},{'Audit Trail': 'able', 'CRF Tracking': 'disabled', 'Data Entry': 'disabled', 'Data Verification': 'disabled', 'Distributed Capture': 'disabled', 'Document Imaging': 'disabled', 'Document Indexing': 'disabled', 'Forms Management': 'able', 'Remote Capture': 'disabled', 'Study Management': 'disabled'}",20,month/user,0.75,month/user,0.75
Debut,,$34.99/one-time/user,Lifetime License - Home Edition,Yes,,"Installed-Mac,Installed-Windows","Documentation,Webinars","Online,BusinessHours",Electronic Data Capture Features,"{'Audit Trail': 'disabled', 'CRF Tracking': 'disabled', 'Data Entry': 'disabled', 'Data Verification': 'disabled', 'Distributed Capture': 'able', 'Document Imaging': 'able', 'Document Indexing': 'disabled', 'Forms Management': 'disabled', 'Remote Capture': 'able', 'Study Management': 'disabled'}",21,one-time/user,34.99,one-time/user,34.99
Kofax Kapow,,,,,,,,,"Integration Features, Electronic Data Capture Features","{'Dashboard': 'disabled', 'ETL - Extract / Transfer / Load': 'disabled', 'Metadata Management': 'disabled', 'Multiple Data Sources': 'able', 'Web Services': 'able'},{}",22,Not provided by vendor,inf,month/user,71.67
MainEDC,,$399.00/month,https://datamanagement365.com/en/pricing/,Yes,,"Cloud,SaaS,Web","Documentation,Webinars,LiveOnline,InPerson","Online,24/7(LiveRep)",Electronic Data Capture Features,"{'Audit Trail': 'able', 'CRF Tracking': 'able', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'able', 'Document Imaging': 'able', 'Document Indexing': 'disabled', 'Forms Management': 'able', 'Remote Capture': 'able', 'Study Management': 'able'}",23,month,399.0,month,399.0
MPS IntelliVector,,"$1,000.00/one-time",,,,"Cloud,SaaS,Web,Installed-Mac,Installed-Windows","Documentation,LiveOnline,InPerson","Online,BusinessHours","Document Management Features, Accounts Payable Features, Data Entry Features, Data Extraction Features, Electronic Data Capture Features","{'Collaboration Tools': 'disabled', 'Compliance Tracking': 'disabled', 'Document Archiving': 'able', 'Document Assembly': 'disabled', 'Document Indexing': 'disabled', 'Document Retention': 'able', 'Electronic Signature': 'disabled', 'File Recovery': 'disabled', 'File Type Conversion': 'disabled', 'Offline Access': 'able', 'Optical Character Recognition': 'able', 'Version Control': 'disabled'},{'Approval Process Control': 'able', 'Bank Reconciliation': 'disabled', 'Cash Management': 'disabled', 'Check Printing': 'disabled', 'Duplicate Payment Alert': 'able', 'Fraud Detection': 'able', 'General Ledger Entry': 'disabled', 'Vendor Management': 'able'},{'Abbreviation Detection': 'disabled', 'Data Capture and Transfer': 'able', 'Data Duplication': 'able', 'Data Entry Verification': 'able', 'Data Retrieval': 'able', 'Image Capture': 'disabled', 'Mis-Keyed Variation Detection': 'disabled', 'Phonetic Variation Detection': 'disabled'},{'Disparate Data Collection': 'able', 'Document Extraction': 'able', 'Email Address Extraction': 'able', 'Image Extraction': 'able', 'IP Address Extraction': 'disabled', 'Phone Number Extraction': 'able', 'Pricing Extraction': 'able', 'Web Data Extraction': 'able'},{'Audit Trail': 'disabled', 'CRF Tracking': 'disabled', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'able', 'Document Imaging': 'able', 'Document Indexing': 'able', 'Forms Management': 'able', 'Remote Capture': 'able', 'Study Management': 'disabled'}",24,one-time,1000.0,one-time,1000.0
DataLabs,,,,,,,,,Electronic Data Capture Features,{},25,Not provided by vendor,inf,year,307.53
BizEfficiency,,$40.00/month/user,,Yes,,"Cloud,SaaS,Web,Mobile-AndroidNative,Mobile-iOSNative","LiveOnline,InPerson","Online,BusinessHours",Electronic Data Capture Features,"{'Audit Trail': 'able', 'CRF Tracking': 'disabled', 'Data Entry': 'able', 'Data Verification': 'disabled', 'Distributed Capture': 'able', 'Document Imaging': 'disabled', 'Document Indexing': 'disabled', 'Forms Management': 'able', 'Remote Capture': 'able', 'Study Management': 'disabled'}",26,month/user,40.0,month/user,40.0
Clinion EDC & CDM,,Not provided by vendor,,,,"Cloud,SaaS,Web","LiveOnline,InPerson","Online,BusinessHours",Electronic Data Capture Features,"{'Audit Trail': 'able', 'CRF Tracking': 'able', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'able', 'Document Imaging': 'able', 'Document Indexing': 'able', 'Forms Management': 'able', 'Remote Capture': 'able', 'Study Management': 'able'}",27,Not provided by vendor,inf,year/user,12422.41
Clipboard To Contact - Turn Text Into Contacts,,$5.99/one-time/user,,Yes,,"Cloud,SaaS,Web,Installed-Windows,Mobile-AndroidNative,Mobile-iOSNative","Documentation,Webinars,LiveOnline",Online,Electronic Data Capture Features,"{'Audit Trail': 'disabled', 'CRF Tracking': 'disabled', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'disabled', 'Document Imaging': 'able', 'Document Indexing': 'disabled', 'Forms Management': 'disabled', 'Remote Capture': 'able', 'Study Management': 'disabled'}",28,one-time/user,5.99,one-time/user,5.99
CTMS,,,,,,,,,"Clinical Trial Management Features, Electronic Data Capture Features","{'21 CFR Part 11 Compliance': 'disabled', 'Document Management': 'disabled', 'Electronic Data Capture': 'disabled', 'Enrollment Management': 'able', 'HIPAA Compliant': 'disabled', 'Monitoring': 'able', 'Patient Database': 'disabled', 'Recruiting Management': 'disabled', 'Scheduling': 'disabled', 'Study Planning': 'disabled'},{}",29,Not provided by vendor,inf,one-time,10597.5
Datacap Taskmaster Capture,,Not provided by vendor,Contact IBM for pricing details.,,,Installed-Windows,"Documentation,Webinars",Online,Electronic Data Capture Features,"{'Audit Trail': 'disabled', 'CRF Tracking': 'disabled', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'able', 'Document Imaging': 'able', 'Document Indexing': 'able', 'Forms Management': 'disabled', 'Remote Capture': 'disabled', 'Study Management': 'disabled'}",30,Not provided by vendor,inf,month/user,53.12
Dharma,,,,,,,,,"Electronic Data Capture Features, Data Management Features","{},{}",31,Not provided by vendor,inf,one-time,23123.73
eCaseLink,,Not provided by vendor,,,,"Cloud,SaaS,Web","Documentation,LiveOnline,InPerson",24/7(LiveRep),"Clinical Trial Management Features, Electronic Data Capture Features","{'21 CFR Part 11 Compliance': 'able', 'Document Management': 'able', 'Electronic Data Capture': 'able', 'Enrollment Management': 'able', 'HIPAA Compliant': 'disabled', 'Monitoring': 'able', 'Patient Database': 'disabled', 'Recruiting Management': 'disabled', 'Scheduling': 'able', 'Study Planning': 'disabled'},{'Audit Trail': 'able', 'CRF Tracking': 'able', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'able', 'Document Imaging': 'able', 'Document Indexing': 'able', 'Forms Management': 'able', 'Remote Capture': 'able', 'Study Management': 'able'}",32,Not provided by vendor,inf,year,471.2
ExamineYou,,$30.00/month,Monthly and yearly paid plans and a free Basic plan for ever.,Yes,,"Cloud,SaaS,Web",Documentation,"Online,BusinessHours",Electronic Data Capture Features,{},33,month,30.0,month,30.0
AcuFill,,Not provided by vendor,,,Yes,"Cloud,SaaS,Web,Installed-Windows,Mobile-AndroidNative,Mobile-iOSNative","Documentation,Webinars,LiveOnline,InPerson",BusinessHours,Electronic Data Capture Features,"{'Audit Trail': 'disabled', 'CRF Tracking': 'disabled', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'disabled', 'Document Imaging': 'able', 'Document Indexing': 'disabled', 'Forms Management': 'disabled', 'Remote Capture': 'able', 'Study Management': 'disabled'}",34,Not provided by vendor,inf,year,161.6
LabChart Pro,,,,,,,,,Electronic Data Capture Features,"{'Audit Trail': 'disabled', 'CRF Tracking': 'disabled', 'Data Entry': 'able', 'Data Verification': 'disabled', 'Distributed Capture': 'disabled', 'Document Imaging': 'disabled', 'Document Indexing': 'disabled', 'Forms Management': 'disabled', 'Remote Capture': 'disabled', 'Study Management': 'disabled'}",35,Not provided by vendor,inf,month,499.09
OnCore,,,,,,,,,"Clinical Trial Management Features, Electronic Data Capture Features, Medical Lab Features","{'21 CFR Part 11 Compliance': 'disabled', 'Document Management': 'able', 'Electronic Data Capture': 'able', 'Enrollment Management': 'able', 'HIPAA Compliant': 'able', 'Monitoring': 'able', 'Patient Database': 'able', 'Recruiting Management': 'able', 'Scheduling': 'able', 'Study Planning': 'able'},{'Audit Trail': 'able', 'CRF Tracking': 'able', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'disabled', 'Document Imaging': 'able', 'Document Indexing': 'able', 'Forms Management': 'able', 'Remote Capture': 'disabled', 'Study Management': 'able'},{'Data Analysis Auditing': 'disabled', 'Data Security': 'able', 'EMR Interface': 'able', 'Fax Management': 'disabled', 'Lab Instrument Interface': 'disabled', 'Multi-Location Printing': 'able', 'Online Instrumentation': 'disabled', 'Physician Test Panels': 'disabled', 'Procedure-Based Billing': 'disabled', 'Sample Tracking': 'able'}",36,Not provided by vendor,inf,one-time/user,404.16
QureClinical,,"$1,000.00/one-time/user",,,,"Cloud,SaaS,Web","Documentation,LiveOnline,InPerson","Online,BusinessHours",Electronic Data Capture Features,"{'Audit Trail': 'able', 'CRF Tracking': 'able', 'Data Entry': 'able', 'Data Verification': 'able', 'Distributed Capture': 'able', 'Document Imaging': 'able', 'Document Indexing': 'disabled', 'Forms Management': 'disabled', 'Remote Capture': 'able', 'Study Management': 'able'}",37,one-time/user,1000.0,one-time/user,1000.0
