product_name,user_name,user_job_title,user_industry,user_company_size,used_years,rating_overall,rating_ease_of_use,rating_customer_support,rating_features_functionality,rating_value_for_money,rating_likelihood_to_recommend,review_title,review_time,software_pros,software_cons,software_overall_experience,software_comments,software_recommendations,product_id
Viedoc,Vishnucharan C.,,,,,4.0,4.0,4.0,4.0,5.0,4.0,Flexible and feature rich EDC!,"Mar 29, 2017",,,,"Comments: Viedoc addresses requirements of all key stakeholders - site, project manager, CRAs and Data management - in terms of user friendliness and simple to use interface, real-time metrics, listings that can be generated anytime - all these drive significant efficiency gains.  Ability to export listings and review and compare the clinical data (important to remember is its real-time data) acts as a significant cost and time saver as it reduces the need to program reports outside of EDC.  ePRO and is ability to support multiple languages, reminder features to the patients all help in compliance of the study in a large way. It is very heartening to see the amount of new features being added to Viedoc on an ongoing basis - almost bi-monthly.  ",,0
Viedoc,Hong L.,,,,,4.0,5.0,5.0,3.0,5.0,4.0,good for use but need more function modules,"Mar 22, 2017",,,,"Comments: Really easy  for DB designer to shorten the EDC setup duration. Also have the advantage on the budget compared to other system. But the shortcoming is less function modules like eCRF/aCRF sort by visit, lab normal checks, online training for site user. these function modules really help us to saving time. And the other module like riskment based SDV setting, drug dispense, medical coding approval are required for every study, but sometimes it will be requested by sponsor. And sometimes it will be a critical factor when sponsor chooseing the system. hope to put more emphases on function module develop, and I think it is reasonable to charge additional budget to sponsor for it.",,0
Viedoc,Nicole S.,,,,,5.0,5.0,5.0,4.0,5.0,4.0, Best value for money EDC system,"Apr 13, 2017",,,,Comments: Viedoc is the best value for money EDC system. It makes the setup process of eCRFs faster and easier than before. Building your eCRF and programming the edit checks can start after a short training. With help of the Viedoc training guides and their great customer support we can start our study within a few weeks.,,0
Viedoc,Sarah J.,,,,,3.0,4.0,2.0,4.0,5.0,4.0,User-friendly EDC system with room for improvement,"Mar 24, 2017",,,,"Comments: Viedoc presents interesting features that facilitate many tasks for both data entry operators and data managers, but can still be further improved.",,0
Viedoc,Divya S.,,,,,4.0,5.0,4.0,4.0,5.0,4.0,Viedoc for Designers,"Mar 28, 2017",,,,"Comments: As a person who has built studies on a couple of EDC platforms, I find Viedoc to be an intuitive system that makes it quite  easy to build studies on. Both the Designer and the Clinic in Viedoc has a very good User Interface that makes the EDC appear simple for both Build users and Site users. We have also heard number of investigators and study staff finding the eCRFs easy to use.",,0
Viedoc,Tânia S.,,,,,3.0,4.0,2.0,3.0,5.0,4.0,Viedoc Review,"Mar 24, 2017",,,,Comments: Viedoc is a userfriendly tool and has been a good choice for our phase I studies.  ,,0
Viedoc,Hanneke L.,,,,,5.0,5.0,4.0,5.0,5.0,4.0,Awesome features,"Mar 22, 2017",,,,"Comments: We have used Viedoc for a number of trials and we are very pleased with the ease of use and great functionalities. New, great features are implemented frequently. These new features are clearly a result of the customer feedback and vision of the company.",,0
Castor EDC,Lisa M.,"Vice President, Clinical and Medical Affairs",Pharmaceuticals,11-50 employees,1-2 years,5.0,4.0,5.0,4.0,5.0,5.0,"High-quality, compliant and affordable EDC","Oct 26, 2018",Pros: After a quick initial learning curve the system is easy to build out without having someone on staff that is an IT expert.   Our clinical study managers are able to build out each study with little to no help from Castor.   The database is easy to use by both clinical sites and sponsors.  The company continues to improve the features of the system and provide webcasts to review the changes and answer user questions.   The value can't be beat.  As an early-stage start up company we are happy to have found a high-quality compliant system we can afford.,"Cons: The one feature we feel is lacking is the ability of an investigator to ""batch approve"" once they have reviewed the data.   It is labor intensive to approve each study visit and each record generated.   Other systems provide this ability and investigator's expect this from all systems.    ","Overall: Very positive.   It's a compliant, easy to use, intuitive system that is affordable.",,,1
Castor EDC,Sjors K.,"MD, Research Fellow/PhD Candidate",Hospital &amp; Health Care,"10,001+ employees",2+ years,5.0,4.0,5.0,4.0,5.0,5.0,Castor is an indispensable tool for clinical research! ,"Jan 21, 2019","Pros: Castor is a GDPR compliant tool to capture and store baseline characteristics, patient surveys, and clinical outcomes. It's affordable, easy to set up and easy to use. What I love most about it is that it improves the study quality so much compared to traditional methods of data capturing. I also love all the automatic calculations (e.g. age from date of birth and procedure date) the system can perform. The ePro feature to send out surveys to patients directly is great! ","Cons: The platform could be even better if it offered functionality to design/structure all variables, definitions, input value options, and calculations in Excel and upload it to Castor. This would make it so much easier to translate (parts) of existing databases to new projects. Also, I missed an option to directly export the database to STATA. Castor currently only supports CSV/Excel/SPSS. Otherwise, no cons.",Overall: I used the platform for 5 international retrospective multi-center cohort studies and it was a great experience to see how researchers at all the participating centers interacted so easily with the software. Everyone loved it. ,,,1
Castor EDC,Bill H.,CEO,Biotechnology,1-10 employees,6 months,5.0,5.0,4.0,4.0,5.0,5.0,Easy to use and well designed,"May 02, 2019","Pros: We are a small start-up company and the task of setting up our study fell on me, a person with absolutely no experience with EDC systems.  After doing a little research we selected Castor EDC because it seemed easy to use and the price was right for us.",,,,,1
Castor EDC,Gabby H.,Project/Data management,Research,11-50 employees,6-12 months,5.0,5.0,5.0,5.0,5.0,5.0,CASTOR for clinical studies,"Oct 29, 2018","Pros: CASTOR for me is the answer to electronic data capture. It is easy to use, you have full control, it is safe and data from several sources can be incorporated. Can be used by the investigator, monitor as well as the participant for answering the questionnaires. I also like the fact that the software keeps being developed and better features are added regulary. Communication is excellent.",Cons: The help section is sometimes a bit hard to work through. Also would like to have a printable version of the manual (esp. for instructions to people using the ready-made castor forms). ,"Overall: CASTOR incorporates everything that I wanted from an electronic data capture program, and is so easy to use that everyone can work with it. ",,,1
Castor EDC,Fleur K.,PhD student,Hospital &amp; Health Care,"10,001+ employees",1-2 years,5.0,5.0,5.0,4.0,5.0,4.5,Clear and user friendly database with many features ,"Oct 25, 2018",Pros: It is easy for a non-experienced database builder to create your own database using Castor.,"Cons: Sending out surveys is still a manual task, it would be great if by just entering the participants' email address, the surveys are sent automatically.",Overall: Castor has a good customers service who supports you when you encounter any difficulties and provides you with helpful tips/solutions. ,,,1
Castor EDC,Mike C.,Software Engineer / UX Specialist,Research,51-200 employees,6-12 months,5.0,5.0,5.0,5.0,5.0,5.0,Really Versatile and GDPR Compliant Data Storage Platform,"Oct 26, 2018","Pros: We literally have found tons of uses for Castor. The ability to build your own forms quickly and knowing the data is stored in a GDPR Compliant way is a HUGE help for us. Also the validation options in the fields are really good / ensure high level of data quality. And Also, The SPSS export function is really a great help too!",Cons: The Surveys do not work well on Mobile phones and most of our research participants would use them that way. ,"Overall: The ability to build our own research forms and surveys, quickly and in GDPR compliant way is a massive help for us as it has drastically reduced the cost of this and also the time it takes to get the forms built. It means we can do research faster and cheaper and with compliance headaches handled. ",,,1
Castor EDC,alden v.,Datamanagement consultant &amp; developer,Hospital &amp; Health Care,"10,001+ employees",1-2 years,4.0,5.0,5.0,4.0,4.0,4.0,Castor edc: the database to have,"Oct 29, 2018",Pros: very easy to understand and use.,Cons: some validations are not yet possible,"Overall: Castor is continuosly growing, so i always look forward to the next upgrade.",,,1
Castor EDC,Bee B.,Research Assistant,Research,1001-5000 employees,1-2 years,5.0,5.0,5.0,4.0,5.0,5.0,Great Data Capturing Software for Research,"Oct 29, 2018",Pros: The almost intuitive easy nature of the software. ,Cons: The study ID numbering is a bit clunky. It would also be great to have study visit alarms / out of study visit window warnings. ,"Overall: Overall we love Castor EDC. Great software, great team behind it and perfect for our research studies. :-)",,,1
Castor EDC,Brechtje H.,PhD,,,1-2 years,5.0,4.0,5.0,5.0,5.0,4.5,High-quality data collection,"Feb 01, 2018","Pros: What I like about Castor is that I can create a user-friendly database that will also create a user-friendly output, i.e. that I can already prepare the data as much as possible to make data analysis easier.","Cons: More possibilities regarding surveys would add even more value: automatic reminders to subjects to complete their survey, notifications if surveys have not been completed yet (in addition to the existing notifications that surveys have been completed). ",,,,1
Castor EDC,M v.,PhD-student,Research,51-200 employees,1-2 years,4.0,5.0,4.0,4.0,5.0,5.0,Nice program for clinical research,"Oct 29, 2018","Pros: Easy to use, customer friendly. Easily adjustable. ","Cons: Sometimes Castor works too slow, so if i'm filling it in while seeing patients, it takes too long. Furthermore, some features do not work properly (like mark whole steps as missing, when the step is too large)",,,,1
Castor EDC,Verified Reviewer,,Medical Practice,1001-5000 employees,6-12 months,5.0,5.0,5.0,4.0,5.0,5.0,Really intuitive,"Oct 26, 2018","Pros: Really easy to use, very intuitive. In multicentre trials with lots of collaborators involved you need a software with those characteristics so that collaborators won't have problems. The online platform works really well and fast.","Cons: There are some things that need to be solved to save time,  when giving access to collaborators, at least in trials with many users.",,,,1
Castor EDC,Shardule S.,Manager,Biotechnology,11-50 employees,1-2 years,5.0,5.0,5.0,5.0,5.0,5.0,Love this system!,"Oct 26, 2018",Pros: Easy to use,"Cons: On rare occasions, bit of a lag time moving from one page to next while filling in form. Nothing major.",,,,1
Castor EDC,Alejandro G.,Research Assistant,Medical Practice,1-10 employees,6-12 months,5.0,5.0,5.0,5.0,5.0,5.0,Makes clinical research easier!,"Oct 26, 2018",Pros: It helps you to have everything in order.,Cons: You can't print the information in a structured format.,Overall: It has made easier to carry on a prospective registry.,,,1
Castor EDC,Verified Reviewer,,Hospital &amp; Health Care,501-1000 employees,1-2 years,5.0,5.0,5.0,5.0,5.0,5.0,Castor Spain Review ,"Oct 26, 2018","Pros: Easy to use, very intuitive, powerful, agile, fast and accurate online support",Cons: There are NO cons in my experience  in this moment ,Overall: 3 studies performed ,,,1
Castor EDC,Michele P.,"MD, Nephrologist",Hospital &amp; Health Care,Self-employed,1-2 years,5.0,5.0,5.0,4.0,3.0,4.5,my opinion about Castor,"Oct 27, 2018",Pros: - Really easy use,Cons: - sometimes is not easy to fill the form by the Investigators if repeated measures (report button) are used,Overall: Nice!,,,1
Castor EDC,Josephine J.,Clinical Research Fellow,Hospital &amp; Health Care,Self-employed,6-12 months,5.0,5.0,5.0,5.0,5.0,5.0,Review,"Oct 26, 2018","Pros: It is very intuitive to use. It's very easy to design a CRF. Customer support is always available to help with queries, if there are any. I honestly did not have any trouble at all running my study on Castor. I would recommend it to everyone and I strongly believe collaborative research is the way to go forward.",Cons: I don't have anything to criticise at all.,,,,1
Castor EDC,Stefan S.,PhD fellow,Medical Practice,1001-5000 employees,6-12 months,5.0,4.0,5.0,5.0,5.0,5.0,Good program,"Oct 26, 2018",Pros: It is reliable. Every day a back-up is made of my database.,Cons: Sometimes the site is running (very) slow. Especially after running some calculations.,Overall: Very good,,,1
Castor EDC,Olivia C.,"MD, PhD researcher in psychiatry",Mental Health Care,11-50 employees,1-2 years,5.0,5.0,5.0,4.0,4.0,5.0,Best solution to manage my data,"Oct 26, 2018",Pros: easy to build up your project with. The structure helps you think about your statistical plan.,"Cons: expensive compared to redcap, but still value for money ",Overall: Very good experience for my PhD-project. Easy to set up and easy to use and to export!,,,1
Castor EDC,Dennis &amp; Lisanne V.,,,,,4.0,5.0,5.0,5.0,5.0,5.0,"Great interface, superb customer service","Apr 26, 2016",,,,"Comments: Great interface, dummy-proof, adheres to GCP-requirements without being disturbing to users. Hardly any bugs noted, but if there, they will be fixed within a few hours.",,1
Castor EDC,Mireille K.,central data manager,Hospital &amp; Health Care,501-1000 employees,6 months,4.0,4.0,5.0,4.0,5.0,4.5,Very user friendly EDC system,"Nov 21, 2018",Pros: - CRFs are easily built.,"Cons: - The layout and looks change very often, which are not always a improvement.",Overall: For 'smaller' less complex clinical trials Castor EDC is a very welcome alternative EDC system nxt to the other 'big' systems. You can develop a complete study very easily without any complex programming.,,,1
Castor EDC,Verified Reviewer,,Health,,6-12 months,5.0,5.0,5.0,5.0,4.0,5.0,Castor for Investigator initiated Research,"Oct 26, 2018",Pros: Easy to use and intuitive,Cons: Payable,Overall: It made it easy to set up an international clinical trial,,,1
Castor EDC,Jony v.,PhD,Medical Practice,"5001-10,000 employees",2+ years,5.0,4.0,5.0,4.0,4.0,4.0,CASTOR,"Oct 17, 2018","Pros: easy to use, good quality, easy acces and good value","Cons: Nothing specifically, so far no problems with the software have occured",,,,1
Castor EDC,Marieke V.,datamanager,Hospital &amp; Health Care,"5001-10,000 employees",6-12 months,4.0,5.0,5.0,4.0,4.0,5.0,Several studies,"Oct 26, 2018","Pros: Castor is very easy to use, and the helpdesk tries to help you very fast",Cons: I find the calculations hard to use. so I need help with it very often.,"Overall: We use Castor for several studies, we espesially use it for surveys for patients",,,1
Castor EDC,Verified Reviewer,,Medical Practice,"5001-10,000 employees",1-2 years,5.0,5.0,5.0,4.0,5.0,4.5,Very recommended!,"Feb 15, 2019",Pros: Easy to use,Cons: We did not experience any problems with CASTOR,Overall: We used it to collect data for medical research in several centers,,,1
Castor EDC,Mark S.,Research assistant,,,,4.0,4.0,5.0,5.0,5.0,4.5,One of the best online data entry packages,"Apr 26, 2016","Pros: Secure website, easy to use and error proof. Every answer is stored so when the internet fails, you don't lose information. Multi user, adaptable. Error checking but also flexible. So if you want to enter some strange data and you have a good reason, it is still possible. Still works great with large data.",,,"Comments: Pros: Secure website, easy to use and error proof. Every answer is stored so when the internet fails, you don't lose information. Multi user, adaptable. Error checking but also flexible. So if you want to enter some strange data and you have a good reason, it is still possible. Still works great with large data.",,1
Castor EDC,Chiel B.,PhD-Student,Medical Practice,"5001-10,000 employees",6 months,5.0,4.0,5.0,4.0,5.0,4.5,Potential left unused,"Oct 29, 2018",Pros: Data collection and exporting works really well and it is quite easy to use.,"Cons: Some features that could be relatively easily implemented are (still) missing. For example making Grids required fields, validating data on the basis of variables, more coding options. ",Overall: Great.,,,1
Castor EDC,Paul T.,"Research Fellow, Department of Cardiology",,,,5.0,5.0,5.0,5.0,5.0,4.5,"Easy, cheap and excellent service","Jun 08, 2015",,,,"Comments: We used Castor EDC for a clinical trial at the Department of Cardiology of the VU University Medical Center in Amsterdam. Building the case report form was quick and easy due to the intuitive system. Data entry was subsequently performed by several cardiologists, research fellows and research nurses . Using the export function we were able to analyze the data directly, enabling us to speed up the process of drafting and publishing manuscripts. Customer service was outstanding; questions were answered instantaneously,  requests were addressed adequately and minor issues were solved within minutes. ",,1
Castor EDC,Hans W.,Clinical Embryologist,,,,5.0,5.0,5.0,5.0,5.0,4.5,National survey on fertility preservation: done in one afternoon,"Dec 17, 2015",,,,"Comments: Without any prior knowledge or course (just the oneline manual) I was able to make a suitable draft for a national survey. The software is very intuitive and complete, and the resulting forms are clear and consise. The participants of the survey were able to fill it out, with hardly any intrtoduction needed. It is easy to design different user roles, to ensure that participants can only see their own data and not the data entered by the other participants.",,1
Castor EDC,Esmé C.,Project Manager,,,,5.0,5.0,5.0,5.0,5.0,4.5,Managing large multicenter trials (easy). ,"Aug 24, 2015",,,,Comments: I used the Castor EDC to create an eCRF for two large multicenter trials (24 centers and 260 subjects). I was amazed how easy it was. ,,1
Castor EDC,Jesse A.,PhD student,,,,5.0,5.0,5.0,5.0,5.0,4.5,Use of Castor EDC software for research.,"May 01, 2016",,,,"Comments: The Castor software is easy to use, webbased and  has an excellent user interface.  We use the software for a research with substantial amount of data. In general it works very good, only sometimes we have to wait for the server and you have to renew the page. I recommend the software for research purposes. Research will be easier to monitor and to avoid loss of data.....",,1
Castor EDC,Hein Z.,,,,,5.0,5.0,5.0,5.0,5.0,4.5,Great product!,"Apr 27, 2016",,,,Comments: This is by far the best software to use if you're building a medical database.,,1
Castor EDC,Janine G.,Central Data manager,,,,4.0,5.0,5.0,5.0,5.0,4.5,eCRF creation and updates,"Aug 24, 2015",,,,"Comments: You don't need extensive IT/programming skills in order to create your desired eCRF. This might make the eCRF less flexible, but I believe you still have all the tools you need. ",,1
Castor EDC,Angela L.,Researcher,,,,4.0,5.0,5.0,5.0,5.0,4.5,Good product serving its purpose well,"Apr 26, 2016",,,,"Comments: The product makes you think about your research before you start, because you are building your database in a very structured way. Printing it as a CRF is more of a challenge, but it works fine. The Castor team is easy accessible. The export to Excel is sufficient.",,1
Castor EDC,Petra J.,Clinical Research Manager,,,,5.0,4.0,5.0,5.0,5.0,4.5,"intuitive program, easy to set up, very helpful","Dec 15, 2015",,,,"Comments: We have just started using the software. We found it very easy to set up on our own and use it. There are some possibilities we would like to see added, but it might be we just missed them. ",,1
Castor EDC,Martin WF v.,Elderly care physician and medical manager,,,,4.0,3.0,5.0,4.0,5.0,4.5,Castor helped me with a quicker analyses of data,"Apr 27, 2016",,,,Comments: I learned a lot about building a CRF. Based on my experience with Castor I will recommend first a pilot with a new CRF before you use it for a large trial. Data availability with an Excel and SPSS file is very handful  ,,1
Castor EDC,B H.,"MD, PhD student",,,,4.0,4.0,5.0,5.0,5.0,4.5,Essential in this time,"Apr 28, 2016",,,,"Comments: In an era where (clinical) data collection and storage must be easy, safe and following extensive regulations, Castor provides the solution with a data collection and management system. Our institution has considers Castor as a valid system. Furthermore, customer service is quick and helpfull. ",,1
Castor EDC,Marijn S.,,,,,5.0,5.0,5.0,5.0,5.0,4.5,"Excellent, very user-friendly","Dec 15, 2015",,,,Comments: - Easily accessible from all computers,,1
Castor EDC,Dian W.,MD,Hospital &amp; Health Care,"10,001+ employees",1-2 years,5.0,4.0,5.0,4.0,4.0,4.5,Use of Castor for prospective clinical trial,"May 06, 2019",Pros: The software is really intuitive. It is easy to use and you have a steep learning curve.,Cons: It takes some time to figure out wat the most convenient set-up is. But with great help from the customer service we build a realy nice database,Overall: Very good.,,,1
Castor EDC,Johan G.,ANIOS MKA,,,,4.0,4.0,5.0,5.0,5.0,4.5,"Easy, straightforward, good customer service.","Apr 29, 2016",,,,Comments: Easy to build a database. Castor is still improving.,,1
Castor EDC,Marjolein K.,Clinical microbiologist en epidemiologist,Hospital &amp; Health Care,1001-5000 employees,6 months,4.0,4.0,5.0,4.0,5.0,5.0,Useful tool,"Oct 26, 2018",Pros: Logical structure with many features.,Cons: The fixed format and choices for missing values.,,,,1
Castor EDC,Frank G.,Research phycisian,,,,5.0,5.0,5.0,5.0,5.0,5.0,"Intuitive, fast backup","Apr 26, 2016",,,,"Comments: Castor works very intuitive, and works according to current regulations and guidelines.",,1
Castor EDC,Auke B.,Gastroenterologist,Medical Practice,"10,001+ employees",1-2 years,5.0,5.0,5.0,5.0,4.0,4.5,review,"May 09, 2019",Pros: The software is very practical and userfriendly.,Cons: I have nothing to dislike about the software.,Overall: Very good,,,1
Castor EDC,Floor G.,Research coordinator Cardiology,,,,5.0,5.0,5.0,5.0,5.0,4.5,Perfect solution for research data management,"Aug 31, 2015",,,,Comments: Is is easy to work with. You can design your CRF in every way you can think of.,,1
OnlineCRF,Eugene N.,President,Hospital &amp; Health Care,11-50 employees,6-12 months,5.0,5.0,5.0,5.0,5.0,5.0,Well done.,"Aug 20, 2018","Pros: We used OnlineCRF for randomized non-interventional study. Before we've chosen an EDC system, we looked at several another EDCs. Those EDC systems are a data collection tools which should be configured (visits, ranges, validation rules and other). The fact that OnlineCRF will be preconfigured according to protocol and CRF looked was the main advantage and we've came to decision to try OnlineCRF.",,,,,2
OnlineCRF,Evgeny L.,Investigator,Medical Practice,201-500 employees,6 months,5.0,5.0,5.0,5.0,5.0,5.0,My expirience with OnlineCRF,"Nov 21, 2018","Pros: We have been using OnlineCRF as a research centre for several clinical trials and can state it is a very convenient and user's friendly data collection tool. It was very easy to start to work in the system, to pass pre-study trainings and to understand all navigation features making CRF completion process convenient and intuitively easy. It takes less time to feel comfortable in the completion / editing process comparing with other EDC systems we have been using in other studies. The system's interface is easy to work with, there is different reflection modes which are useful to track subject's completion status what helps to improve quality of our daily activities.  We also can note the convenient query resolution module which is effective and comfortable for data entry staff. ","Cons: We used different versions of the system and would prefer to use one with specific module containing study related documents, manuals, disposable forms etc. intended for use by clinical research sites.",,,,2
Clinical Studio,Jerry S.,Chief Technology Officer,Health,,2+ years,5.0,5.0,5.0,5.0,5.0,5.0,"GREAT Tool for Web Based, Mobile, and Wearable Clinical Trial Data! ","Nov 15, 2017","Pros: Clinical Studio and TrialKit have helped FUEL Studios, Inc. provide even more great tools for our clients. The feature we like most about this platform is the native ability to run on Smartphones, Tablets, and Wearables as an App. It creates a fast and intuitive experience for sponsors, clinicians, and patients. The user interface is modern, and fun for users to use from any location. The Clinical Studio support team has been great to work with too! They have always supported our team in numerous ways, and eagerly receive our suggestions for software improvements. Good people. We're thrilled to have this platform as one of the solutions we can offer to our clients! ","Cons: Though this platform has the ability to create reports and easily pull data, we're hoping to see the complexity of these features grow. For example, creating graphical reports or reports with calculations. We're also hoping we could easily query all study and system data to find specific situations. In the times when we need more, it is very easy to export data to work with outside reporting tools. Or, ask the support team for further information! ",Overall: We've been able to tap into the world of mobile and wearable technology in clinical research! ,,,3
Clinical Studio,John H.,Lead Developer,Hospital &amp; Health Care,1-10 employees,6-12 months,5.0,5.0,5.0,4.0,5.0,5.0,Clinical Studio Turns a Complex Oncology Study into a Manageable and Customizable SAAS Solution,"Jan 03, 2017",Pros: Drag-and-drop interface and reusability of forms.,Cons: Too many confirmation windows to click on but pointed this out to them already so it may not be an issue by the time you read this. ;),"Overall: Let me start off by saying Clinical Studio's customer service is the best. Cody and Paul in particular have been invaluable. They provided all the necessary training to build our studies, made potentially challenging data migration a breeze, and often respond within minutes to our email and text questions. They incorporate new features as we need them and seem to have great synergy between their development and support teams. They treat us like a partner versus a customer and we love that.",,Recommendations to other buyers: They have a list of third-parties that will build the study for them to get it up and running even faster!,3
